TAG,Nº de Série,Patrimônio,Equipamento,Modelo,Fabricante,Criticidade,Prioridade,Grupo Empresa,Razão Social,Setor,Endereço,UF,Bairro,Cidade,CEP,Centro de Custo,Data de Aquisição,Valor de Aquisição,Nota Fiscal,Valor de Substituição,Data de Fabricação,Data de Instalação,Data de Inativação,Data de Garantia,Data de Garantia Estendida,Componente de,Reg. ANVISA,Validade do Registro ANVISA,Situação,Status,Fornecedor,Observação,Garantia Externa,id,previousLocation,specificLocation,returnDate,returnedAllAccessories,transferStatus,transferTo,transferToBed,transferBy,transferRejected,patientMV,patientName,inUseSince,defectDescription,unitNotified,notificationNumber,patientDamage,serviceRequestNumber,preventiveScheduled,preventiveScheduledAt,preventiveSegregatedAt,receivedBySector,lastCleaned,location,status,tag,model,type
DTUS0485,960182WX4,,TRANSDUTOR DE ULTRASSOM,4C-RS,GE HEALTHCARE,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"10.000,00",,"0,00",,07/05/2021,,,,DUSO0252,,,COMODATO - COMERCIAL 3 ALBE LTDA.,ATIVO,COMERCIAL 3 ALBE LDTA.,TRANSDUTOR PERTENCE AO ULTRASSOM DE TAG: DUSO0252 DO CONTRATO DE COMODATO COM A 3 ALBE.,,25197670-9386-4b4b-800b-350e95fc4cad,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,DTUS0485,4C-RS,TRANSDUTOR DE ULTRASSOM
DTUS0486,952438WX0,,TRANSDUTOR DE ULTRASSOM,12L-RS,GE HEALTHCARE,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"10.000,00",,"0,00",,07/05/2021,,,,DUSO0252,,,COMODATO - COMERCIAL 3 ALBE LTDA.,ATIVO,COMERCIAL 3 ALBE LDTA.,TRANSDUTPOR PERTENCE AO ULTRASSOM TAG: DUSO0252 DO CONTRATO DE COMODATO COM A 3 ALBE,,8e74beb1-1899-4f21-b8e2-a2323d5298e2,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,DTUS0486,12L-RS,TRANSDUTOR DE ULTRASSOM
DUSO0109,US80671035,HC 151523,ULTRASSOM,HD11XE,PHILIPS,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",14/03/2014,"100.000,00",,"100.000,00",01/01/2006,05/11/2014,,,,,10216710195,,PRÓPRIO,ATIVO,,,,8ebde7b9-a00a-4175-9de6-0cb5174b3796,03DN,,2026-03-29 20:51:47.384+00,true,,,,,false,,,,,,,,,,,,true,2026-03-29 20:55:56.378+00,CEIC,available,DUSO0109,HD11XE,ULTRASSOM
DUSO0202,VK-81001666,,ULTRASSOM,Z5 (PORTÁTIL),MINDRAY,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"75.000,00",2486,"0,00",,31/05/2019,,31/05/2019,,,80943619007,,COMODATO - MINDRAY,ATIVO,MINDRAY BRASIL,"ACOMPANHA:
1 UNIDADE DO TRANSDUTOR CONVEXO 35C5 DE NÚMERO DE SÉRIE: AGB81138174 DE TAG: DTUS0338;
1 UNIDADE DO TRANSDUTOR LINEAR 75L38 DE NÚMERO DE SÉRIE: AGC81129314 DE TAG: DTUS0339;
1 UNIDADE DO TRANSDUTOR ENDOCAVITARIO DE NÚMERO DE SÉRIE: AGD81126361 DE TAG: DTUS0340;
1 UNIDADE DO CARRINHO UMT-150 DE NÚMERO DE SÉRIE: PTA83009545
1 UNIDADE DE BOLSA DE TRANSPORTE LOTE: 21320313.10

12/06/2021 - TRANSDUTORES QUE ESTÃO COM O EQUIPAMENTO:
TRANSDUTOR CONVEXO 35C5 DE NÚMERO DE SÉRIE: AGB81138174 E DE TAG: DTUS0338;
TRANSDUTOR LINEAR 75L38 DE NÚMERO DE SÉRIE: AGC81129314 DE TAG: DTUS0339;",,b6998832-6fcb-4f40-afb3-f594b89ef898,03DN,,2026-03-29 20:55:34.083+00,true,,,,,false,,,,,,,,,,,,true,2026-03-29 20:55:57.077+00,CEIC,available,DUSO0202,Z5 (PORTÁTIL),ULTRASSOM
DUSO0252,6077457WX0,3ALBE 3480,ULTRASSOM,LOGIQ E (PORTÁTIL),GE HEALTHCARE,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"150.000,00",,"150.000,00",,07/05/2021,,,,,80071260179,,COMODATO - COMERCIAL 3 ALBE,ATIVO,COMERCIAL 3 ALBE LDTA.,"EQUIPAMENTO EM CONTRATO DE COMODATO PELA EMPRESA 3 ALBE. 
INSTALADO EM 07/05/2021. 
ACOMPANHA: 
01 UNID. TRANSDUTOR SETORIAL MOD. 3SC-RS, SÉRIE: 953782WX0
01 UNID. TRANSDUTOR CONVEXO MOD. 4C-RS, SÉRIE: 957069WX8
01 UNID. TRANSDUTOR LINEAR MOD. 12L-RS, SÉRIE: 952442WX2
01 UNID. CARRINHO DE TRANSPORTE, SÉRIE: 110V21040129
01 UNID. MALETA DE TRANSPORTE 
PEN DRIVE 
MANUAIS",,0de8ef55-e21a-415d-9ce5-40aab20f9033,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,DUSO0252,LOGIQ E (PORTÁTIL),ULTRASSOM
EBVP0037,129411,MM001820,BLENDER PARA VENTILADOR PULMONAR,AIR - O2 BLENDER,INTERMED,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"7.000,00",,"0,00",,29/01/2019,,,,,,,COMODATO - MULTMED,ATIVO,MULT MED EQUIPAMENTOS HOSPITALARES LTDA,,,0c33a230-bb85-4fb1-9ebc-cc9796dae714,,10,,,,,,,,MV000000,Paciente Diagnóstico,2026-04-28 19:54:20.623+00,,,,,,,,,false,,Centro Cirúrgico,in_use,EBVP0037,AIR - O2 BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0038,129402,MM001822,BLENDER PARA VENTILADOR PULMONAR,AIR - O2 BLENDER,INTERMED,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"7.000,00",,"0,00",,29/01/2019,,,,,,,COMODATO - MULTMED,ATIVO,MULT MED EQUIPAMENTOS HOSPITALARES LTDA,,,4ba7242e-4798-44a9-a4df-cbf8be9aca34,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,EBVP0038,AIR - O2 BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0040,129416,MM001828,BLENDER PARA VENTILADOR PULMONAR,AIR - O2 BLENDER,INTERMED,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"7.000,00",,"0,00",,29/01/2019,,,,,,,COMODATO - MULTMED,ATIVO,,,,9ef14497-c6ac-4448-9262-551f788e90e5,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,EBVP0040,AIR - O2 BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0044,122903,MM002613,BLENDER PARA VENTILADOR PULMONAR,AIR - O2 BLENDER,INTERMED,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"7.000,00",,"0,00",,13/04/2020,,,,,,,COMODATO - MULTMED,ATIVO,,,,0b3b529a-0f73-44b1-890b-f55e7425792a,,10,,,,,,,,MV000000,Paciente Diagnóstico,2026-04-26 19:45:18.18+00,,,,,,,,,false,,Centro Cirúrgico,in_use,EBVP0044,AIR - O2 BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0049,TRB-20050603,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,TRANSPORTE HC,,,17dded9c-b257-4dcf-86c3-09be8fa5b07b,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,EBVP0049,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0050,TRB-20050606,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,,,,c2d6a4c7-2283-4149-ab0e-2b29c461d6b6,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,EBVP0050,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0051,TRB-20050633,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,,,,115b289f-8746-493e-8065-078016f42fca,,10,,,,,,,,MV000000,Paciente Diagnóstico,2026-05-01 06:24:19.579+00,,,,,,,,,false,,Centro Cirúrgico,in_use,EBVP0051,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0052,TRB-20050327,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,,,,c6842439-c489-4598-b3e8-854860490d5e,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,EBVP0052,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0053,TRB-20050498,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,,,,5c7044fc-ad2b-4671-a0b0-d819c8f5874d,,10,,,,,,,,MV000000,Paciente Diagnóstico,2026-04-22 12:02:47.354+00,,,,,,,,,false,,Centro Cirúrgico,in_use,EBVP0053,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0054,TRB-20050570,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,,,,60498165-6cea-4b58-8f23-344d0f69780f,,10,,,,,,,,MV000000,Paciente Diagnóstico,2026-04-26 19:44:39.418+00,,,,,,,,,false,,Centro Cirúrgico,in_use,EBVP0054,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
EBVP0055,TRB-20050496,,BLENDER PARA VENTILADOR PULMONAR,TR BLENDER,TREND MEDICAL,CRÍTICO,ALTA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",22/05/2020,"6.000,00",,"0,00",01/05/2020,25/05/2020,,25/05/2021,,,81628579002,,EMPRESTADO - SECRETÁRIA DE SAÚDE DE SÃO PAULO,ATIVO,,,,9fafe746-1332-4394-9ae2-cd9199e62a68,,10,,,,,,,,MV000000,Paciente Diagnóstico,2026-05-04 19:07:35.806+00,,,,,,,,,false,,Centro Cirúrgico,in_use,EBVP0055,TR BLENDER,BLENDER PARA VENTILADOR PULMONAR
